feature,importance
pm25_30d_avg,0.47389993
pm25_7d_avg,0.2838986
pm25_lag_1d,0.04446161
was_exceeding_who_30d,0.04203822
is_spring,0.016626723
pm25_90d_avg,0.016349845
is_fall,0.010669216
lon,0.01051585
month,0.01051345
quarter,0.009725014
lat,0.008505975
pm10_30d_avg,0.007815958
pm25_recent_ratio,0.0058863703
was_exceeding_who_7d,0.0057068137
is_summer,0.005614631
year,0.0045913095
is_winter,0.004549098
pm25_30d_max,0.00417038
population,0.0037699982
pm25_30d_min,0.003715576
population_per_station,0.0033557415
n_stations,0.0032643678
monitoring_density_score,0.0030506237
pm25_30d_range,0.0029483228
no2_30d_avg,0.0028624851
pm25_trend,0.0027651964
pm25_7d_volatility,0.0023935956
pm25_lag_14d,0.002298092
pm25_lag_30d,0.0019132099
pm25_lag_7d,0.0016128614
is_weekend,0.0002581264
day_of_week,0.00025274826
